business_id,name,normalized_name,rating,review_count,rating_band,rating_reliability,price,price_level,price_tier,value_score,hidden_gem,shop_type,popularity_band,categories,address,address1,city,state,zip_code,latitude,longitude,phone,yelp_url,image_url
'scocIBRq5UGTVBYpU3bQTw,Gregorys Coffee,gregorys coffee,3.8,162,3.5-3.9,50+ reviews,$$,2,Moderate,63.17,No,Chain,Medium: 50-199 reviews,"Coffee & Tea, Bakeries","443 7th St NW, Washington, DC 20004",443 7th St NW,"Washington, DC",DC,20004,38.8959499,-77.0217798,(877) 220-2286,https://www.yelp.com/biz/gregorys-coffee-washington-12?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/N0z79QVJgX6F2Kc6cglKFQ/o.jpg
'PKcdA7xOfqcbkPovvykEwg,Cafe Joy,cafe joy,4.8,11,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Sandwiches, Desserts","906 P St NW, Washington, DC 20001",906 P St NW,"Washington, DC",DC,20001,38.9095,-77.02431,(202) 525-2922,https://www.yelp.com/biz/cafe-joy-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/HV_bBIz-9jjb8hsF9H-0rw/o.jpg
'PBTrlS5QBLkI_V4xY9bvZw,Blank Street Coffee,blank street coffee,3.5,70,3.5-3.9,50+ reviews,Unknown,,Unknown,,No,Chain,Medium: 50-199 reviews,Coffee & Tea,"2121 M St NW, Washington, DC 20037",2121 M St NW,"Washington, DC",DC,20037,38.905507,-77.04817,,https://www.yelp.com/biz/blank-street-coffee-washington-3?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/6HqJPPCcpn-AwZvoxZiqnw/o.jpg
'4keayJ0UdauJ22FTn9pJpw,Prim's Cafe,prims cafe,4.5,11,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Bakeries, Desserts","1847 7th St NW, Washington, DC 20001",1847 7th St NW,"Washington, DC",DC,20001,38.91522,-77.02172,(202) 805-5913,https://www.yelp.com/biz/prims-cafe-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/U9GEHnjd87xC7yTZ9Bb2Tw/o.jpg
'QrU-5UGZjTQIj420eNZsWw,Colada Shop,colada shop,4,634,4.0-4.4,50+ reviews,$$,2,Moderate,69.14,No,Chain,Very high: 500+ reviews,"Coffee & Tea, Cocktail Bars, Sandwiches","1405 T St NW, Washington, DC 20009",1405 T St NW,"Washington, DC",DC,20009,38.91573591,-77.03239453,(202) 931-4947,https://www.yelp.com/biz/colada-shop-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/6Fj7-q3XFA9rkuHKf1a1Xw/o.jpg
'pAlhiCHkrqll97LSC7CtMA,Blue Bottle Coffee - Midtown Center,blue bottle coffee midtown center,4.3,47,4.0-4.4,Under 50 reviews,Unknown,,Unknown,,No,Chain,Low: under 50 reviews,Coffee & Tea,"1100 15th St NW, Ste 6, Washington, DC 20005",1100 15th St NW,"Washington, DC",DC,20005,38.90427135,-77.03477091,(510) 653-3394,https://www.yelp.com/biz/blue-bottle-coffee-midtown-center-washington-3?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/N0E23K_H8KHYC-XMBXE9_Q/o.jpg
'ceafVsi9pvBc2sp3Pc_S3g,Creative Grounds DC,creative grounds dc,4.7,98,4.5-5.0,50+ reviews,Unknown,,Unknown,,Yes,Independent / Local,Medium: 50-199 reviews,"Art Classes, Coffee & Tea","1822 North Capitol St Nw Washington Dc 20002, Washington, DC 20002",1822 North Capitol St Nw Washington Dc 20002,"Washington, DC",DC,20002,38.91471,-77.00945,(202) 730-2979,https://www.yelp.com/biz/creative-grounds-dc-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/UEv_V87gxl6T1D5nHUH_Mw/o.jpg
'-BC5nMSlMV8w0p7zWBMnLg,Urban Roast,urban roast,3.3,1048,Below 3.5,50+ reviews,$$,2,Moderate,58.96,No,Independent / Local,Very high: 500+ reviews,"Coffee & Tea, Breakfast & Brunch, Bars","916 G St NW, Ste C-2, Washington, DC 20001",916 G St NW,"Washington, DC",DC,20001,38.89800507,-77.024916,(771) 333-5051,https://www.yelp.com/biz/urban-roast-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/fXsYCgyjTU2u_ErGs9pvPQ/o.jpg
'GkiVviskpNQsCfU5HR_y1g,Midnight Mug,midnight mug,3.5,6,3.5-3.9,Under 50 reviews,$$,2,Moderate,51.96,No,Independent / Local,Low: under 50 reviews,Coffee & Tea,"3700 O St NW, Washington, DC 20057",3700 O St NW,"Washington, DC",DC,20057,38.9062348,-77.07207409,(202) 687-0100,https://www.yelp.com/biz/midnight-mug-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/u5uHBJpDTxKOXZ_OGEmjmg/o.jpg
'_WxNQeKwlFKTpQ93k8gLnQ,Soleluna,soleluna,4.6,175,4.5-5.0,50+ reviews,Unknown,,Unknown,,No,Independent / Local,Medium: 50-199 reviews,"Bakeries, Coffee & Tea","1789 Columbia Rd NW, Washington, DC 20009",1789 Columbia Rd NW,"Washington, DC",DC,20009,38.92311455,-77.0423368,,https://www.yelp.com/biz/soleluna-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/YTwrvCPOaP3tn2FDYeP0dg/o.jpg
'GIgPMcJsuUwIbXrGm-VBXg,Peregrine Espresso,peregrine espresso,4,119,4.0-4.4,50+ reviews,$,1,Budget,73.75,No,Chain,Medium: 50-199 reviews,Coffee & Tea,"1309 5th St NE, Washington, DC 20002",1309 5th St NE,"Washington, DC",DC,20002,38.9087806,-76.9979685,(202) 543-5459,https://www.yelp.com/biz/peregrine-espresso-washington-5?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/r1O4lV4M5Bi7qf2wXxzYDQ/o.jpg
'BM1cqBWyKhUITejS6LzSzA,Unido,unido,4,55,4.0-4.4,50+ reviews,Unknown,,Unknown,,No,Chain,Medium: 50-199 reviews,"Coffee Roasteries, Coffee & Tea","908 W St NW, Washington, DC 20001",908 W St NW,"Washington, DC",DC,20001,38.91909707,-77.024541,(828) 779-3822,https://www.yelp.com/biz/unido-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/smof9HIUQ8sdznN9gjzGtw/o.jpg
'KUnaHw4uVAarHnM5F06YHQ,Tatte Bakery & Cafe | Farragut Square,tatte bakery and cafe farragut square,4.2,151,4.0-4.4,50+ reviews,$$,2,Moderate,69.43,No,Chain,Medium: 50-199 reviews,"Coffee & Tea, Bakeries, Cafes","1634 I St NW, Washington, DC 20006",1634 I St NW,"Washington, DC",DC,20006,38.90124763,-77.03886612,(202) 984-7077,https://www.yelp.com/biz/tatte-bakery-and-cafe-washington-9?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/firvp-oIg4Ld2Jo85_MH2Q/o.jpg
'ADF7xgqyzBvUzEnXlZHAOA,Sidamo Coffee and Tea,sidamo coffee and tea,4.3,541,4.0-4.4,50+ reviews,$,1,Budget,81.61,No,Independent / Local,Very high: 500+ reviews,"Coffee & Tea, Breakfast & Brunch, Sandwiches","417 H St NE, Washington, DC 20002",417 H St NE,"Washington, DC",DC,20002,38.90002,-76.99991,(202) 548-0081,https://www.yelp.com/biz/sidamo-coffee-and-tea-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/UYOVaCFr5rz9XHSrm5L7Wg/o.jpg
'WVWCWl-wpAg062HE297pog,Nothing Fancy,nothing fancy,4.4,19,4.0-4.4,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,Coffee & Tea,"715 8th St SE, Washington, DC 20003",715 8th St SE,"Washington, DC",DC,20003,38.88072035,-76.9951997,,https://www.yelp.com/biz/nothing-fancy-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/gzhdH7dIJ9mBU_JgD1iTJA/o.jpg
'Ka1eFrfduPiWKuO9YR-gnw,Flor,flor,4.2,59,4.0-4.4,50+ reviews,Unknown,,Unknown,,No,Independent / Local,Medium: 50-199 reviews,"Coffee & Tea, Salad, Empanadas","1220 31st St NW, Washington, DC 20007",1220 31st St NW,"Washington, DC",DC,20007,38.90578892,-77.0613687,(202) 819-4926,https://www.yelp.com/biz/flor-washington-3?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/C_Ql4BrTSB6XYhnXJr0y_Q/o.jpg
'bvr7_jM4aO_IwxaX62zxUQ,Spark Social House,spark social house,4.6,19,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Breakfast & Brunch, Cocktail Bars","2009 14th St NW, Washington, DC 20009",2009 14th St NW,"Washington, DC",DC,20009,38.91738,-77.03164,,https://www.yelp.com/biz/spark-social-house-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/0_nw6j81c6Mu7C20IyJ2kw/o.jpg
'hdihkmYZ3UWJk6-orDJ-hg,Jacob's Coffee House,jacobs coffee house,4.3,289,4.0-4.4,50+ reviews,$,1,Budget,80.34,No,Independent / Local,High: 200-499 reviews,Coffee & Tea,"401 8th St NE, Washington, DC 20002",401 8th St NE,"Washington, DC",DC,20002,38.89496231,-76.99475098,(202) 507-8812,https://www.yelp.com/biz/jacobs-coffee-house-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/lGN6ReMdO4s5clRxLvHYTA/o.jpg
'7k--kn68SJWPIS2zpFRQcg,BPM Coffee & Wine,bpm coffee and wine,4.1,12,4.0-4.4,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Wine Bars, Coffee & Tea, Breakfast & Brunch","1430 Rhode Island Ave NW, Washington, DC 20005",1430 Rhode Island Ave NW,"Washington, DC",DC,20005,38.908074,-77.032967,(202) 521-2721,https://www.yelp.com/biz/bpm-coffee-and-wine-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/1JN2QVr_3i6i5d5SvjCksw/o.jpg
'o4sK8xguH4V2wHLVWtJ2XA,District of Columbia Coffee,district of columbia coffee,4.8,4,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Food Trucks, Colombian","600 Maryland Ave SW, Washington, DC 20024",600 Maryland Ave SW,"Washington, DC",DC,20024,38.88604,-77.021115,,https://www.yelp.com/biz/district-of-columbia-coffee-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/dOvwzsE3sKv2ZNNlrLd4MA/o.jpg
'6U--Ntf892nuDpyQVpFT9Q,Reed Cooke Cafe,reed cooke cafe,5,2,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Desserts, Coffee & Tea, Desserts, Coffee & Tea","1630 Columbia Rd NW, Washington, DC 20009",1630 Columbia Rd NW,"Washington, DC",DC,20009,38.92565432,-77.03749839,(202) 449-4580,https://www.yelp.com/biz/reed-cooke-cafe-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/z1xG2VnPnrFbEzC70qoVPA/o.jpg
'Dx8lMWIZP3a0MZKg6_PQ9g,Rue Cafe,rue cafe,4.8,58,4.5-5.0,50+ reviews,Unknown,,Unknown,,Yes,Independent / Local,Medium: 50-199 reviews,"Coffee & Tea, Sandwiches","3906 14th St NW, Washington, DC 20011",3906 14th St NW,"Washington, DC",DC,20011,38.93887,-77.03306,(202) 741-0410,https://www.yelp.com/biz/rue-cafe-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/EMJTi0TMVVFOBKYqGIXaRA/o.jpg
'CbxJHBa5CT7XAVrciKQ2SA,Caspian Crust,caspian crust,4.3,26,4.0-4.4,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Bakeries, Breakfast & Brunch","1826 Wisconsin Ave NW, Washington, DC 20007",1826 Wisconsin Ave NW,"Washington, DC",DC,20007,38.915269,-77.067748,(202) 916-5115,https://www.yelp.com/biz/caspian-crust-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/xYTMz5qJ_i3raqDUWyJSpQ/o.jpg
'4hiztDuiwFDjCCRCefa9BQ,Colada Shop,colada shop,4,395,4.0-4.4,50+ reviews,$$,2,Moderate,68.18,No,Chain,High: 200-499 reviews,"Coffee & Tea, Cocktail Bars, Sandwiches","10 Pearl St SW, Washington, DC 20024",10 Pearl St SW,"Washington, DC",DC,20024,38.8792028,-77.02383552,(202) 932-2980,https://www.yelp.com/biz/colada-shop-washington-5?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/7dAY1fpzafvZpxsvQbk9pw/o.jpg
'9YirmV6UfC5HSFHF-fUIQQ,Compass Coffee,compass coffee,4.2,321,4.0-4.4,50+ reviews,$$,2,Moderate,70.95,No,Chain,High: 200-499 reviews,Coffee & Tea,"650 F St NW, Washington, DC 20004",650 F St NW,"Washington, DC",DC,20004,38.89714,-77.02100676,(202) 746-5510,https://www.yelp.com/biz/compass-coffee-washington-5?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/OrZcmkiVvTOaPiM07jNXig/o.jpg
'Jks-TNhhOXwx5I-y4v-eEQ,Others Coffee,others coffee,4.8,20,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,Yes,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Coffee Roasteries, Pop-up Shops","1722 Florida Ave NW, Washington, DC 20009",1722 Florida Ave NW,"Washington, DC",DC,20009,38.91795694,-77.04010355,,https://www.yelp.com/biz/others-coffee-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/dcWNtcCHsATTT2AVQRC71w/o.jpg
'2QWLzwW0kxT98nFkHbSgVw,Songbyrd Record Cafe,songbyrd record cafe,3.8,230,3.5-3.9,50+ reviews,$$,2,Moderate,63.88,No,Independent / Local,High: 200-499 reviews,"Vinyl Records, Coffee & Tea, Sandwiches","540 Penn St NE, Washington, DC 20009",540 Penn St NE,"Washington, DC",DC,20009,38.91022,-76.99647,(202) 450-2917,https://www.yelp.com/biz/songbyrd-record-cafe-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/ixljhze_3iTZJflbg4ZH3g/o.jpg
'cDfILozwkzgVTu30RBmziw,Cuban Espresso,cuban espresso,4.5,20,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,Yes,Independent / Local,Low: under 50 reviews,"Cuban, Coffee & Tea, American","2750 14th St NW, Unit C11A, Washington, DC 20009",2750 14th St NW,"Washington, DC",DC,20009,38.925263,-77.032657,(202) 848-2528,https://www.yelp.com/biz/cuban-espresso-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/sszQHmJ6bCohGOrysRizFg/o.jpg
'60zgA0q2GJFO330Enc6gJQ,Wake Me Shake Me,wake me shake me,5,2,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Vinyl Records, Coffee & Tea","205 Upshur St NW, Washington, DC 20011",205 Upshur St NW,"Washington, DC",DC,20011,38.94234873,-77.0139964,,https://www.yelp.com/biz/wake-me-shake-me-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/IeDSWWmNqVRQCbleI4CiHA/o.jpg
'UWkHbV0z6qKuqQWoBvt-Jg,Politics and Prose,politics and prose,4.2,397,4.0-4.4,50+ reviews,$$,2,Moderate,71.39,No,Independent / Local,High: 200-499 reviews,"Bookstores, Coffee & Tea","5015 Connecticut Ave NW, Washington, DC 20008",5015 Connecticut Ave NW,"Washington, DC",DC,20008,38.95547,-77.06965,(202) 364-1919,https://www.yelp.com/biz/politics-and-prose-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/bvqJOGU_FrvZE1bOwiot3w/o.jpg
'YxFzFtNIOFwX58ysT9ct2g,Land of a Thousand Hills Coffee,land of a thousand hills coffee,3.9,16,3.5-3.9,Under 50 reviews,Unknown,,Unknown,,No,Chain,Low: under 50 reviews,"Coffee & Tea, Sandwiches","2601 14th St NW, Washington, DC 20009",2601 14th St NW,"Washington, DC",DC,20009,38.92393132,-77.03195497,,https://www.yelp.com/biz/land-of-a-thousand-hills-coffee-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/6mqtC65sf4aGYwTP16IDwg/o.jpg
'dCXve1mqUIr7oB9DwJm6DA,Tatte Bakery & Cafe,tatte bakery and cafe,4.1,697,4.0-4.4,50+ reviews,$$,2,Moderate,70.93,No,Chain,Very high: 500+ reviews,"Bakeries, Coffee & Tea, Breakfast & Brunch","1200 New Hampshire Ave NW, Washington, DC 20036",1200 New Hampshire Ave NW,"Washington, DC",DC,20036,38.905814,-77.047639,(202) 919-8300,https://www.yelp.com/biz/tatte-bakery-and-cafe-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/kxQjLMrgieHZP1_au8CUEQ/o.jpg
'xkMMVwEuJ2dwATVnhCa24A,Compass Coffee,compass coffee,4.2,90,4.0-4.4,50+ reviews,$$,2,Moderate,68.38,No,Chain,Medium: 50-199 reviews,"Coffee Roasteries, Coffee & Tea","1401 Eye St NW, Washington, DC 20005",1401 Eye St NW,"Washington, DC",DC,20005,38.901542,-77.032095,(202) 838-3193,https://www.yelp.com/biz/compass-coffee-washington-19?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/csrgYl1kMbV-cjbOG1_rag/o.jpg
'J3_lb8sFpi7p6IVfeI51nw,La Colombe,la colombe,4.2,66,4.0-4.4,50+ reviews,$$,2,Moderate,67.76,No,Chain,Medium: 50-199 reviews,Coffee & Tea,"201 M St NE, Washington, DC 20002",201 M St NE,"Washington, DC",DC,20002,38.90534736,-77.00266824,(202) 846-6833,https://www.yelp.com/biz/la-colombe-washington-11?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/eqEXKiC9erVmop5y0QUJow/o.jpg
'aJOh6r-enfn7bAVAwdtXVw,maman,maman,4,162,4.0-4.4,50+ reviews,Unknown,,Unknown,,No,Chain,Medium: 50-199 reviews,"Bakeries, Breakfast & Brunch, Coffee & Tea","1300 4th St NE, NE, Washington, DC 20002",1300 4th St NE,"Washington, DC",DC,20002,38.90928614,-76.9992647,(202) 464-5033,https://www.yelp.com/biz/maman-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/H1IB4Rhpw3-D7ZkwynDe0g/o.jpg
'4Ry2kj5nVqAsxuFSQx-_GA,Compass Coffee,compass coffee,4.2,444,4.0-4.4,50+ reviews,$,1,Budget,79.61,No,Chain,High: 200-499 reviews,Coffee & Tea,"1535 7th St NW, Washington, DC 20001",1535 7th St NW,"Washington, DC",DC,20001,38.9105988,-77.0215683,(202) 251-7402,https://www.yelp.com/biz/compass-coffee-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/FBA8NsESIqhi_7Opm1neUQ/o.jpg
'MJi17KRFRAlK4s7wqz9Jdw,Blue Bottle Coffee - Union Station,blue bottle coffee union station,3.8,152,3.5-3.9,50+ reviews,$$,2,Moderate,63.04,No,Chain,Medium: 50-199 reviews,Coffee & Tea,"50 Massachusetts Ave NE, Unit M160, Washington, DC 20002",50 Massachusetts Ave NE,"Washington, DC",DC,20002,38.897347,-77.006174,(510) 653-3394,https://www.yelp.com/biz/blue-bottle-coffee-union-station-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/tVi-i2S5L0LrBUcpf-GWjQ/o.jpg
'HwCXs7tjIL0kOuLdvy1zTQ,Bluestone Lane Scott Circle Coffee Shop,bluestone lane scott circle coffee shop,4,139,4.0-4.4,50+ reviews,Unknown,,Unknown,,No,Chain,Medium: 50-199 reviews,"Coffee & Tea, Breakfast & Brunch","1515 Rhode Island Ave NW, Washington, DC 20005",1515 Rhode Island Ave NW,"Washington, DC",DC,20005,38.907868,-77.035532,(718) 374-6858,https://www.yelp.com/biz/bluestone-lane-the-darcy-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/Qa3KqOJcWvZJhOhkME_Bjw/o.jpg
'uPmJB-jwTcHsBnd6lZktFw,Café du Parc,cafe du parc,3.5,544,3.5-3.9,50+ reviews,$$,2,Moderate,60.83,No,Independent / Local,Very high: 500+ reviews,"French, Breakfast & Brunch, Coffee & Tea","1401 Pennsylvania Ave NW, Washington, DC 20004",1401 Pennsylvania Ave NW,"Washington, DC",DC,20004,38.89639918,-77.03237802,(202) 942-7000,https://www.yelp.com/biz/caf%C3%A9-du-parc-washington-4?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/XQaL1jIMQc1FVRngVmsAOw/o.jpg
'SWaWOdCXKeeiEleMGz5NHw,Bluestone Lane Logan Circle Café,bluestone lane logan circle cafe,4.2,126,4.0-4.4,50+ reviews,$$,2,Moderate,69.06,No,Chain,Medium: 50-199 reviews,"Coffee & Tea, Gluten-Free, Breakfast & Brunch","1367 R St NW, Washington, DC 20009",1367 R St NW,"Washington, DC",DC,20009,38.91245405,-77.03116322,(718) 374-6858,https://www.yelp.com/biz/bluestone-lane-logan-circle-caf%C3%A9-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/xSJTsIgRHVBqsT8njVmuQw/o.jpg
